mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
39808,Non Non Biyori Nonstop,2021,Manga,Slice of Life,12,135779,79454,Q3,0.5851,0.4696,0.0072,0.9155,0.5338,Нишевые любимчики,Продолжение
51128,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,2022,Light novel,Action,12,162002,130697,Q3,0.8066,0.526,0.003,0.843,0.6043,Надёжный просмотр,Дебют
51648,Nozomanu Fushi no Boukensha,2024,Light novel,Action,12,205207,171746,Q4 крупные,0.8368,0.7045,0.0042,0.9294,0.7814,Надёжный просмотр,Дебют
57969,Nukitashi the Animation,2025,Visual novel,Comedy,11,39943,23880,Q2,0.5972,0.1414,0.0061,0.6777,0.3339,Нишевые любимчики,Дебют
39583,number24,2020,Original,Sports,12,67078,40679,Q2,0.6064,0.4067,0.0041,0.796,0.3878,Остальные,Дебют
58197,Nyaight of the Living Cat,2025,Manga,Action,12,27227,14450,Q1 малые,0.5307,0.1342,0.0032,0.598,0.1429,Остальные,Дебют
39609,Ochikobore Fruit Tart,2020,4-koma manga,Slice of Life,12,42472,21995,Q2,0.5179,0.3403,0.002,0.8053,0.149,Остальные,Дебют
40136,Oda Cinnamon Nobunaga,2020,Manga,Comedy,12,22868,15647,Q1 малые,0.6842,0.3762,0.0017,0.7346,0.3342,Остальные,Дебют
46102,Odd Taxi,2021,Original,Award Winning,13,489086,331527,Q4 крупные,0.6778,0.5529,0.0183,0.9137,0.762,Нишевые любимчики,Дебют
53300,Ojou to Banken-kun,2023,Manga,Romance,13,84376,56846,Q2,0.6737,0.3771,0.0061,0.752,0.5386,Нишевые любимчики,Дебют
52611,Okashi na Tensei,2023,Light novel,Fantasy,12,104506,88322,Q3,0.845,0.6846,0.0024,0.9062,0.67,Надёжный просмотр,Дебют
55842,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,2025,Web manga,Comedy,12,65209,41623,Q2,0.6375,0.3704,0.0027,0.7494,0.3097,Остальные,Дебют
