mal_id,episode,retention,title,segment,source,title_type
41487,1,0.9783,Tensei shitara Slime Datta Ken 2nd Season Part 2,Флагманы,Manga,Продолжение
41488,1,0.9549,Tensura Nikki: Tensei shitara Slime Datta Ken,Флагманы,Manga,Дебют
41514,1,0.9416,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,Остальные,Light novel,Продолжение
41520,1,0.8864,Show by Rock!! Stars!!,Остальные,Game,Продолжение
41521,1,0.8955,WIXOSS Diva(A)Live,Остальные,Card game,Дебют
41556,1,0.8773,Maiko-san Chi no Makanai-san,Остальные,Manga,Дебют
41574,1,0.9108,Guraburu!,Остальные,4-koma manga,Дебют
41589,1,0.9274,Tokyo Mew Mew New ♡,Нишевые любимчики,Manga,Дебют
41762,1,0.9348,Tenchi Souzou Design-bu,Остальные,Manga,Дебют
41783,1,0.9301,Iwa Kakeru! Sport Climbing Girls,Остальные,Web manga,Дебют
41833,1,0.9268,Kyuuketsuki Sugu Shinu,Нишевые любимчики,Manga,Дебют
41899,1,0.9524,Ore dake Haireru Kakushi Dungeon,Надёжный просмотр,Light novel,Дебют
41930,1,0.9456,Kamisama ni Natta Hi,Нишевые любимчики,Original,Дебют
42071,1,0.8868,Yuuki Yuuna wa Yuusha de Aru Churutto!,Остальные,Game,Продолжение
42072,1,0.9347,Kenja no Deshi wo Nanoru Kenja,Надёжный просмотр,Light novel,Дебют
42203,1,0.9717,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Флагманы,Light novel,Продолжение
42238,1,0.9589,Ani ni Tsukeru Kusuri wa Nai! 4,Надёжный просмотр,Web manga,Продолжение
42250,1,0.9581,Bungou Stray Dogs Wan!,Флагманы,Web manga,Продолжение
42282,1,0.9492,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,Надёжный просмотр,Light novel,Продолжение
42307,1,0.9263,Subarashiki Kono Sekai The Animation,Остальные,Game,Дебют
42321,1,0.8828,Battle Athletess Daiundoukai ReSTART!,Остальные,Original,Дебют
42340,1,0.943,Meikyuu Black Company,Надёжный просмотр,Web manga,Дебют
